day	month	year	AccumulationFinal
7	4	2015	57.199999999999996
7	4	2016	8.200000000000001
7	5	2013	0.0
7	5	2014	0.0
7	5	2015	0.0
7	5	2016	0.0
7	6	2010	0.0
7	6	2013	0.0
7	6	2014	0.0
7	6	2015	1.5999999999999999
7	7	2010	0.0
7	7	2013	12.799999999999999
7	7	2014	201.60000000000002
7	7	2015	58.8
7	8	2013	5.2
7	8	2015	0.0
7	9	2013	16.599999999999998
7	9	2015	0.0
7	10	2012	0.2
7	10	2013	17.799999999999994
7	10	2015	0.0
7	11	2012	0.0
7	11	2013	0.4
7	11	2015	0.8
7	12	2012	0.2
7	12	2013	0.0
7	12	2015	0.0
8	1	2013	24.000000000000004
8	1	2014	28.0
8	1	2016	2.4
8	2	2013	78.4
8	2	2014	0.0
8	2	2016	0.2
8	3	2013	0.2
8	3	2014	0.0
8	3	2016	0.0
8	4	2014	5.600000000000001
8	4	2015	37.200000000000024
8	4	2016	0.0
8	5	2013	0.4
8	5	2014	0.6000000000000001
8	5	2015	0.0
8	5	2016	0.0
8	6	2010	0.0
8	6	2013	0.0
8	6	2014	8.0
8	6	2015	89.60000000000004
8	7	2010	0.0
8	7	2013	1.5999999999999999
8	7	2015	0.0
8	8	2013	0.0
8	8	2015	0.0
8	9	2013	0.0
8	9	2015	5.799999999999999
8	10	2012	0.2
8	10	2013	0.2
8	10	2015	5.6000000000000005
8	11	2012	0.0
8	11	2013	0.6000000000000001
8	11	2015	0.0
8	12	2012	1.5999999999999999
8	12	2013	0.0
8	12	2015	0.0
9	1	2013	577.2000000000002
9	1	2014	0.0
9	1	2016	2.6000000000000005
9	2	2013	1.5999999999999999
9	2	2014	0.0
9	2	2016	1.0
9	3	2013	0.0
9	3	2014	629.0
9	3	2016	0.0
9	4	2014	0.0
9	4	2015	23.200000000000003
9	4	2016	0.0
9	5	2013	0.2
9	5	2014	0.2
9	5	2015	2.0
9	5	2016	0.0
9	6	2010	17.999999999999996
9	6	2013	0.0
9	6	2014	0.0
9	6	2015	5.200000000000002
9	7	2010	15.599999999999996
9	7	2013	0.6000000000000001
9	7	2015	0.0
9	8	2013	0.0
9	8	2015	0.0
9	9	2013	0.0
9	9	2015	1.4
9	10	2012	0.0
9	10	2013	0.0
9	10	2015	3.0000000000000004
9	11	2012	0.4
9	11	2013	0.6000000000000001
